name,ein
COVENANT HOUSE ALASKA,13-3419755
ARCTIC SLOPE COMMUNITY FOUNDATION INC,27-2247740
ALASKA YOUTH AND FAMILY NETWORK,31-1751437
ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES INC,51-0152394
Children's Surgical Centre,71-0897496
BIG BROTHERS BIG SISTERS OF ALASKA,80-0064172
The Alaska Center Education Fund,23-7380045
ALASKA PUBLIC TELECOMMUNICATIONS INC,23-7394629
ANCHORAGE PARK FOUNDATION,41-2205907
"EXCEL Alaska, Inc.",46-1486834
Alaska Children's Trust,91-1765129
"Great Alaska Council, Boy Scouts of America",92-0016314
Alaska Pacific University,92-0023588
United Way of Anchorage,92-0027948
The Arc of Anchorage,92-0028571
Camp Fire Alaska,92-0029613
Alaska Legal Services Corp.,92-0034754
Catholic Social Services,92-0037322
JUNEAU YOUTH SERVICES INC,92-0038549
ALASKA HUMANITIES FORUM,92-0042123
ALASKA GEOGRAPHIC ASSOCIATION,92-0043154
Play N Learn Center Inc,92-0047999
Breast Cancer Detection Center of Alaska and Charitable Corp.,92-0055382
Gastineau Humane Society,92-0057621
Alaska Conservation Foundation,92-0061466
THE TUNDRA WOMENS COALITION,92-0068684
NINE STAR ENTERPRISES INC,92-0069154
"REACH, Inc.",92-0070127
"Beans Cafe, Inc.",92-0072522
"Food Bank of Alaska, Inc.",92-0073175
"Alaska Family Services, Inc.",92-0078235
WASILLA AREA SENIORS INC,92-0082770
ANCHOR-AGE CENTER INC,92-0086821
Community Connections Inc,92-0112719
Alaskan AIDS Assistance Association,92-0113788
"Alaska Center for the Performing Arts, Inc.",92-0120733
CROSS ROAD HEALTH MINISTRIES INC,92-0126047
CHUGACH REGIONAL RESOURCES,92-0126412
Denali Education Center,92-0131177
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,92-0132479
KOAHNIC BROADCAST CORPORATION,92-0139738
Life Alaska Donor Services,92-0140815
INTERIOR COMMUNITY HEALTH CENTER,92-0147354
Alutiiq Heritage Foundation,92-0150422
Alaska Community Foundation,92-0155067
SOUTHEAST ALASKA LAND TRUST,92-0156402
YUKON RIVER INTER-TRIBAL WATERSHED COUNCIL,92-0166976
"Alaska Wildlife Conservation Center, Inc.",92-0170600
FIRST ALASKANS INSTITUTE,92-0174854
TRUSTEES FOR ALASKA,92-6010379
